@relation movies

@Attribute Director string
@Attribute Actor string
@Attribute Writer string
@Attribute Genre string
@Attribute Success string

@Data

'Tibor Takács','Patrick Muldoon','Joseph Farrugia','Sci-Fi','No'
'Vladimir Teneslav','Florin Marza','Razvan Dumitru','Short','Yes'
'H. Haile Chace','Arthur Howard','H. Haile Chace','Comedy','No'
'Steven Spielberg','Leonardo DiCaprio','Jeff Nathanson','Biography','Yes'
'Eric Lange','Julien Anton','Serge Bromberg','Documentary','Yes'
'Larry Clark','Leo Fitzpatrick','Larry Clark','Drama','Yes'
'Damian Lee','Gord Apolloni','Damian Lee','Drama','Yes'
'P.J. Dillon','Allen Leech','Roger Karshan','Short','Yes'
'Nick Bahash','Nick Bahash','Nick Bahash','Comedy','No'
'Erik Balling','Judy Geeson','Erik Balling','Drama','Yes'
'Malik Bendjelloul','Stephen 'Sugar' Segerman','Malik Bendjelloul','Documentary','Yes'
'Dominic Harari','Guillermo Toledo','Dominic Harari','Comedy','Yes'
'Sarah McLauchlan','Zoe Charman','Sarah McLauchlan','Animation','Yes'
'Caradog W. James','Caity Lotz','Caradog W. James','Sci-Fi','Yes'
'Danny DeVito','Mara Wilson','Roald Dahl','Comedy','Yes'
'Martin Sheen','Charlie Sheen','Dennis Shryack','Drama','Yes'
'Johnnie To','Ching Wan Lau','Nai-Hoi Yau','Action','Yes'
'Ryan Coogler','Jontille Gerard','Alex George Pickering','Short','Yes'
'Hung Min Chen','Lingfeng Shangguan','Hsin Yi Chang','Action','Yes'
'Eduard Cortés','Eduard Farelo','Eduard Cortés','Drama','Yes'
'Karl Ford','Fred Buckley','Karl Ford','Short','Yes'
'Takis Spiridakis','Maria Tsombanaki','Takis Spiridakis','Short','Yes'
'Michael Caton-Jones','Liam Neeson','Alan Sharp','Action','Yes'
'Ivan Velez','Rebecca Aviles','Ivan Velez','Drama','Yes'
'Tom Burruss','Lillo Brancato','Jai Stefan','Drama','Yes'
'Charlotte Sachs Bostrup','Pia Vieth','Christian Kampmann','Drama','Yes'
'Charles Winkler','Malcolm McDowell','Emerson Bixby','Horror','Yes'
'Tomasz Blachnicki','Szymon Bobrowski','Jaroslaw Banaszek','Drama','Yes'
'Bernard L. Kowalski','John Lupton','Joseph C. Gilette','Drama','No'
'Claude Nuridsany','Sotigui Kouyaté','Claude Nuridsany','Documentary','Yes'
'Christian Duguay','Aidan Quinn','Dan Gordon','Action','Yes'
'J. Lee Thompson','Michael Sarrazin','Max Ehrlich','Horror','Yes'
'Ad Bol','Maike Moeller Bornstein','Ad Bol','Drama','Yes'
'Megan Peterson','King Stuart','Megan Peterson','Short','Yes'
'Lasse Hallström','David Aaron Baker','William Wheeler','Comedy','Yes'
'Neil Burger','Bradley Cooper','Leslie Dixon','Mystery','Yes'
'James Steven Sadwith','Jonathan Rhys Meyers','Patrick Sheane Duncan','Biography','Yes'
'Krystof Zlatnik','Nils Vogeley','Krystof Zlatnik','Short','Yes'
'Yvan Gauthier','Virginie Aster','Philippe Perret','Crime','Yes'
'Shafi',''Chiyaan' Vikram','Benny P. Nayarambalam','Action','Yes'
'Wes Craven','Drew Barrymore','Kevin Williamson','Horror','Yes'
'Terry Tychon','Randy Barrett','Stu Brumbaugh','Horror','Yes'
'Bill Bennett','Saffron Burrows','Bill Bennett','Thriller','Yes'
'Norihiro Koizumi','Yû Aoi','Shu Fujimoto','Drama','Yes'
'Phil Karlson','Richard Conte','Georges Simenon','Crime','Yes'
'Abdullah Oguz','Özgü Namal','Elif Ayan','Drama','Yes'
'Bill L. Norton','Tracey Gold','Phil Penningroth','Crime','Yes'
'Seung-wook Byeon','Ban-ya Choi','Seung-wook Byeon','Romance','Yes'
'André Farwagi','Nastassja Kinski','Paul Nicholas','Comedy','No'
'Tim Hunter','Crispin Glover','Neal Jimenez','Crime','Yes'
'Rusty Apper','Rusty Apper','Rusty Apper','Action','Yes'
'Kentarô Ohtani','Masami Nagasawa','Mitsuru Adachi','Romance','Yes'
'John Rocco','Sally Golan','John Rocco','Short','No'
'Michiel van Jaarsveld','Ramsey Nasr','Michiel van Jaarsveld','Drama','Yes'
'Michael Scalisi','Greg Haberny','Michael Scalisi','Short','Yes'
'Jamin Winans','Raymond Andrew Bailey','Jamin Winans','Short','Yes'
'Frank McDonald','Richard Arlen','North Bigbee','Drama','Yes'
'Joe L. Roberts','Lelani Mitchem','Joe L. Roberts','Drama','Yes'
'Chris Shaw','Timothy Dwight','Chris Shaw','Drama','Yes'
'Dave Castiglione','Brock Richards','Dave Castiglione','Horror','No'
'Guillermo del Toro','Ron Perlman','Guillermo del Toro','Action','Yes'
'Yash Chopra','Shah Rukh Khan','Aditya Chopra','Drama','Yes'
'William Mager','Lara Steward','Charlie Swinbourne','Short','Yes'
'Joe Francis','Don Prentiss','Joe Francis','Horror','No'
'Martin Hollý','Vlado Müller','Jirí Krizan','Drama','Yes'
'Woody Allen','Joe Mantegna','Woody Allen','Comedy','Yes'
